CIPCode2010,CIPTitle2010,Action,Text change,CIPCode2020,CIPTitle2020,,,CIPCode2010,CIPCode2020
01.1101,"Plant Sciences, General.",No substantive changes,no,01.1101,"Plant Sciences, General.",,,1.1101,1.1101
01.1102,Agronomy and Crop Science.,No substantive changes,no,01.1102,Agronomy and Crop Science.,,,1.1102,1.1102
01.1103,Horticultural Science.,No substantive changes,no,01.1103,Horticultural Science.,,,1.1103,1.1103
01.1104,Agricultural and Horticultural Plant Breeding.,No substantive changes,no,01.1104,Agricultural and Horticultural Plant Breeding.,,,1.1104,1.1104
01.1105,Plant Protection and Integrated Pest Management.,No substantive changes,no,01.1105,Plant Protection and Integrated Pest Management.,,,1.1105,1.1105
01.1106,Range Science and Management.,No substantive changes,no,01.1106,Range Science and Management.,,,1.1106,1.1106
,,New,no,01.1180,Reserved.,,,,1.118
01.1199,"Plant Sciences, Other.",No substantive changes,no,01.1199,"Plant Sciences, Other.",,,1.1199,1.1199
01.12,Soil Sciences.,No substantive changes,no,01.12,Soil Sciences.,,,1.12,1.12
01.1201,"Soil Science and Agronomy, General.",No substantive changes,no,01.1201,"Soil Science and Agronomy, General.",,,1.1201,1.1201
01.1202,Soil Chemistry and Physics.,No substantive changes,no,01.1202,Soil Chemistry and Physics.,,,1.1202,1.1202
01.1203,Soil Microbiology.,No substantive changes,no,01.1203,Soil Microbiology.,,,1.1203,1.1203
01.1299,"Soil Sciences, Other.",No substantive changes,no,01.1299,"Soil Sciences, Other.",,,1.1299,1.1299
,,New,no,01.13,Agriculture/Veterinary Preparatory Programs.,,,,1.13
,,New,no,01.1399,"Agriculture/Veterinary Preparatory Programs, Other.",,,,1.1399
,,New,no,01.82,Veterinary Administrative Services.,,,,1.82
,,New,no,01.8201,"Veterinary Administrative Services, General.",,,,1.8201
,,New,no,01.8202,Veterinary Office Management/Administration.,,,,1.8202
,,New,no,01.8203,Veterinary Reception/Receptionist.,,,,1.8203
,,New,no,01.8204,Veterinary Administrative/Executive Assistant and Veterinary Secretary.,,,,1.8204
,,New,no,01.8299,"Veterinary Administrative Services, Other.",,,,1.8299
,,New,no,01.83,Veterinary/Animal Health Technologies/Technicians.,,,,1.83
,,New,no,01.8399,"Veterinary/Animal Health Technologies/Technicians, Other.",,,,1.8399
01.99,"Agriculture, Agriculture Operations, and Related Sciences, Other.",No substantive changes,yes,01.99,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",,,1.99,1.99
01.9999,"Agriculture, Agriculture Operations, and Related Sciences, Other.",No substantive changes,yes,01.9999,"Agricultural/Animal/Plant/Veterinary Science and Related Fields, Other.",,,1.9999,1.9999
03,NATURAL RESOURCES AND CONSERVATION.,No substantive changes,no,03,NATURAL RESOURCES AND CONSERVATION.,,,3,3
03.01,Natural Resources Conservation and Research.,No substantive changes,no,03.01,Natural Resources Conservation and Research.,,,3.01,3.01
03.0101,"Natural Resources/Conservation, General.",No substantive changes,no,03.0101,"Natural Resources/Conservation, General.",,,3.0101,3.0101
03.0103,Environmental Studies.,No substantive changes,no,03.0103,Environmental Studies.,,,3.0103,3.0103
03.0104,Environmental Science.,No substantive changes,no,03.0104,Environmental Science.,,,3.0104,3.0104
03.0199,"Natural Resources Conservation and Research, Other.",No substantive changes,no,03.0199,"Natural Resources Conservation and Research, Other.",,,3.0199,3.0199
03.02,Natural Resources Management and Policy.,No substantive changes,yes,03.02,Environmental/Natural Resources Management and Policy.,,,3.02,3.02
03.0201,Natural Resources Management and Policy.,No substantive changes,yes,03.0201,"Environmental/Natural Resources Management and Policy, General.",,,3.0201,3.0201
03.0204,Natural Resource Economics.,No substantive changes,yes,03.0204,Environmental/Natural Resource Economics.,,,3.0204,3.0204
03.0205,"Water, Wetlands, and Marine Resources Management.",No substantive changes,no,03.0205,"Water, Wetlands, and Marine Resources Management.",,,3.0205,3.0205
03.0206,Land Use Planning and Management/Development.,No substantive changes,no,03.0206,Land Use Planning and Management/Development.,,,3.0206,3.0206
03.0207,Natural Resource Recreation and Tourism.,No substantive changes,yes,03.0207,Environmental/Natural Resource Recreation and Tourism.,,,3.0207,3.0207
03.0208,Natural Resources Law Enforcement and Protective Services.,No substantive changes,yes,03.0208,Environmental/Natural Resources Law Enforcement and Protective Services.,,,3.0208,3.0208
,,New,no,03.0209,Energy and Environmental Policy.,,,,3.0209
,,New,no,03.0210,Bioenergy.,,,,3.021
03.0299,"Natural Resources Management and Policy, Other.",No substantive changes,yes,03.0299,"Environmental/Natural Resources Management and Policy, Other.",,,3.0299,3.0299
03.03,Fishing and Fisheries Sciences and Management.,No substantive changes,no,03.03,Fishing and Fisheries Sciences and Management.,,,3.03,3.03
03.0301,Fishing and Fisheries Sciences and Management.,No substantive changes,no,03.0301,Fishing and Fisheries Sciences and Management.,,,3.0301,3.0301
03.05,Forestry.,No substantive changes,no,03.05,Forestry.,,,3.05,3.05
03.0501,"Forestry, General.",No substantive changes,no,03.0501,"Forestry, General.",,,3.0501,3.0501
03.0502,Forest Sciences and Biology.,No substantive changes,no,03.0502,Forest Sciences and Biology.,,,3.0502,3.0502
03.0506,Forest Management/Forest Resources Management.,No substantive changes,no,03.0506,Forest Management/Forest Resources Management.,,,3.0506,3.0506
03.0508,Urban Forestry.,No substantive changes,no,03.0508,Urban Forestry.,,,3.0508,3.0508
03.0509,Wood Science and Wood Products/Pulp and Paper Technology.,No substantive changes,yes,03.0509,Wood Science and Wood Products/Pulp and Paper Technology/Technician.,,,3.0509,3.0509
03.0510,Forest Resources Production and Management.,No substantive changes,no,03.0510,Forest Resources Production and Management.,,,3.051,3.051
03.0511,Forest Technology/Technician.,No substantive changes,no,03.0511,Forest Technology/Technician.,,,3.0511,3.0511
03.0599,"Forestry, Other.",No substantive changes,no,03.0599,"Forestry, Other.",,,3.0599,3.0599
03.06,Wildlife and Wildlands Science and Management.,No substantive changes,no,03.06,Wildlife and Wildlands Science and Management.,,,3.06,3.06
03.0601,"Wildlife, Fish and Wildlands Science and Management.",No substantive changes,no,03.0601,"Wildlife, Fish and Wildlands Science and Management.",,,3.0601,3.0601
03.99,"Natural Resources and Conservation, Other.",No substantive changes,no,03.99,"Natural Resources and Conservation, Other.",,,3.99,3.99
03.9999,"Natural Resources and Conservation, Other.",No substantive changes,no,03.9999,"Natural Resources and Conservation, Other.",,,3.9999,3.9999
04,ARCHITECTURE AND RELATED SERVICES.,No substantive changes,no,04,ARCHITECTURE AND RELATED SERVICES.,,,4,4
04.02,Architecture.,No substantive changes,no,04.02,Architecture.,,,4.02,4.02
,,New,no,04.0200,Pre-Architecture Studies.,,,,4.02
04.0201,Architecture.,No substantive changes,no,04.0201,Architecture.,,,4.0201,4.0201
,,New,no,04.0202,Architectural Design.,,,,4.0202
,,New,no,04.0299,"Architecture, Other.",,,,4.0299
04.03,"City/Urban, Community and Regional Planning.",No substantive changes,no,04.03,"City/Urban, Community, and Regional Planning.",,,4.03,4.03
04.0301,"City/Urban, Community and Regional Planning.",No substantive changes,no,04.0301,"City/Urban, Community, and Regional Planning.",,,4.0301,4.0301
04.04,Environmental Design.,No substantive changes,no,04.04,Environmental Design.,,,4.04,4.04
04.0401,Environmental Design/Architecture.,No substantive changes,no,04.0401,Environmental Design/Architecture.,,,4.0401,4.0401
,,New,no,04.0402,Healthcare Environment Design/Architecture.,,,,4.0402
,,New,no,04.0403,Sustainable Design/Architecture.,,,,4.0403
,,New,no,04.0499,"Environmental Design, Other.",,,,4.0499
04.05,Interior Architecture.,No substantive changes,no,04.05,Interior Architecture.,,,4.05,4.05
04.0501,Interior Architecture.,No substantive changes,no,04.0501,Interior Architecture.,,,4.0501,4.0501
04.06,Landscape Architecture.,No substantive changes,no,04.06,Landscape Architecture.,,,4.06,4.06
04.0601,Landscape Architecture.,No substantive changes,no,04.0601,Landscape Architecture.,,,4.0601,4.0601
04.08,Architectural History and Criticism.,No substantive changes,yes,04.08,"Architectural History, Criticism, and Conservation.",,,4.08,4.08
04.0801,"Architectural History and Criticism, General.",No substantive changes,no,04.0801,"Architectural History and Criticism, General.",,,4.0801,4.0801
,,New,no,04.0802,Architectural Conservation.,,,,4.0802
,,New,no,04.0803,Architectural Studies.,,,,4.0803
,,New,no,04.0899,"Architectural History, Criticism, and Conservation, Other.",,,,4.0899
04.09,Architectural Sciences and Technology.,No substantive changes,no,04.09,Architectural Sciences and Technology.,,,4.09,4.09
04.0901,Architectural Technology/Technician.,No substantive changes,no,04.0901,Architectural Technology/Technician.,,,4.0901,4.0901
04.0902,Architectural and Building Sciences/Technology.,No substantive changes,no,04.0902,Architectural and Building Sciences/Technology.,,,4.0902,4.0902
04.0999,"Architectural Sciences and Technology, Other.",No substantive changes,no,04.0999,"Architectural Sciences and Technology, Other.",,,4.0999,4.0999
04.10,Real Estate Development.,No substantive changes,no,04.10,Real Estate Development.,,,4.1,4.1
04.1001,Real Estate Development.,No substantive changes,no,04.1001,Real Estate Development.,,,4.1001,4.1001
04.99,"Architecture and Related Services, Other.",No substantive changes,no,04.99,"Architecture and Related Services, Other.",,,4.99,4.99
04.9999,"Architecture and Related Services, Other.",No substantive changes,no,04.9999,"Architecture and Related Services, Other.",,,4.9999,4.9999
05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",No substantive changes,no,05,"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES.",,,5,5
05.01,Area Studies.,No substantive changes,no,05.01,Area Studies.,,,5.01,5.01
05.0101,African Studies.,No substantive changes,no,05.0101,African Studies.,,,5.0101,5.0101
05.0102,American/United States Studies/Civilization.,No substantive changes,no,05.0102,American/United States Studies/Civilization.,,,5.0102,5.0102
05.0103,Asian Studies/Civilization.,No substantive changes,no,05.0103,Asian Studies/Civilization.,,,5.0103,5.0103
05.0104,East Asian Studies.,No substantive changes,no,05.0104,East Asian Studies.,,,5.0104,5.0104
05.0105,"Russian, Central European, East European and Eurasian Studies.",No substantive changes,no,05.0105,"Russian, Central European, East European and Eurasian Studies.",,,5.0105,5.0105
05.0106,European Studies/Civilization.,No substantive changes,no,05.0106,European Studies/Civilization.,,,5.0106,5.0106
05.0107,Latin American Studies.,No substantive changes,no,05.0107,Latin American Studies.,,,5.0107,5.0107
05.0108,Near and Middle Eastern Studies.,No substantive changes,no,05.0108,Near and Middle Eastern Studies.,,,5.0108,5.0108
05.0109,Pacific Area/Pacific Rim Studies.,No substantive changes,no,05.0109,Pacific Area/Pacific Rim Studies.,,,5.0109,5.0109
05.0110,Russian Studies.,No substantive changes,no,05.0110,Russian Studies.,,,5.011,5.011
05.0111,Scandinavian Studies.,No substantive changes,yes,05.0111,Scandinavian Studies.,,,5.0111,5.0111
05.0112,South Asian Studies.,No substantive changes,no,05.0112,South Asian Studies.,,,5.0112,5.0112
05.0113,Southeast Asian Studies.,No substantive changes,no,05.0113,Southeast Asian Studies.,,,5.0113,5.0113
05.0114,Western European Studies.,No substantive changes,no,05.0114,Western European Studies.,,,5.0114,5.0114
05.0115,Canadian Studies.,No substantive changes,no,05.0115,Canadian Studies.,,,5.0115,5.0115
05.0116,Balkans Studies.,No substantive changes,no,05.0116,Balkans Studies.,,,5.0116,5.0116
05.0117,Baltic Studies.,No substantive changes,no,05.0117,Baltic Studies.,,,5.0117,5.0117
05.0118,Slavic Studies.,No substantive changes,no,05.0118,Slavic Studies.,,,5.0118,5.0118
05.0119,Caribbean Studies.,No substantive changes,no,05.0119,Caribbean Studies.,,,5.0119,5.0119
05.0120,Ural-Altaic and Central Asian Studies.,No substantive changes,no,05.0120,Ural-Altaic and Central Asian Studies.,,,5.012,5.012
05.0121,Commonwealth Studies.,No substantive changes,no,05.0121,Commonwealth Studies.,,,5.0121,5.0121
05.0122,"Regional Studies (U.S., Canadian, Foreign)",No substantive changes,yes,05.0122,"Regional Studies (U.S., Canadian, Foreign).",,,5.0122,5.0122
05.0123,Chinese Studies.,No substantive changes,no,05.0123,Chinese Studies.,,,5.0123,5.0123
05.0124,French Studies.,No substantive changes,no,05.0124,French Studies.,,,5.0124,5.0124
05.0125,German Studies.,No substantive changes,no,05.0125,German Studies.,,,5.0125,5.0125
05.0126,Italian Studies.,No substantive changes,no,05.0126,Italian Studies.,,,5.0126,5.0126
05.0127,Japanese Studies.,No substantive changes,no,05.0127,Japanese Studies.,,,5.0127,5.0127
05.0128,Korean Studies.,No substantive changes,no,05.0128,Korean Studies.,,,5.0128,5.0128
05.0129,Polish Studies.,No substantive changes,no,05.0129,Polish Studies.,,,5.0129,5.0129
05.0130,Spanish and Iberian Studies.,No substantive changes,no,05.0130,Spanish and Iberian Studies.,,,5.013,5.013
05.0131,Tibetan Studies.,No substantive changes,no,05.0131,Tibetan Studies.,,,5.0131,5.0131
05.0132,Ukraine Studies.,No substantive changes,no,05.0132,Ukraine Studies.,,,5.0132,5.0132
05.0133,Irish Studies.,No substantive changes,no,05.0133,Irish Studies.,,,5.0133,5.0133
05.0134,Latin American and Caribbean Studies.,No substantive changes,no,05.0134,Latin American and Caribbean Studies.,,,5.0134,5.0134
,,New,no,05.0135,Appalachian Studies.,,,,5.0135
,,New,no,05.0136,Arctic Studies.,,,,5.0136
05.0199,"Area Studies, Other.",No substantive changes,no,05.0199,"Area Studies, Other.",,,5.0199,5.0199
05.02,"Ethnic, Cultural Minority, Gender, and Group Studies.",No substantive changes,no,05.02,"Ethnic, Cultural Minority, Gender, and Group Studies.",,,5.02,5.02
05.0200,Ethnic Studies.,No substantive changes,no,05.0200,Ethnic Studies.,,,5.02,5.02
05.0201,African-American/Black Studies.,No substantive changes,no,05.0201,African-American/Black Studies.,,,5.0201,5.0201
05.0202,American Indian/Native American Studies.,No substantive changes,no,05.0202,American Indian/Native American Studies.,,,5.0202,5.0202
05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",No substantive changes,no,05.0203,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano Studies.",,,5.0203,5.0203
05.0206,Asian-American Studies.,No substantive changes,no,05.0206,Asian-American Studies.,,,5.0206,5.0206
05.0207,Women's Studies.,No substantive changes,no,05.0207,Women's Studies.,,,5.0207,5.0207
05.0208,Gay/Lesbian Studies.,No substantive changes,no,05.0208,Gay/Lesbian Studies.,,,5.0208,5.0208
05.0209,Folklore Studies.,No substantive changes,no,05.0209,Folklore Studies.,,,5.0209,5.0209
05.0210,Disability Studies.,No substantive changes,no,05.0210,Disability Studies.,,,5.021,5.021
05.0211,Deaf Studies.,No substantive changes,no,05.0211,Deaf Studies.,,,5.0211,5.0211
,,New,no,05.0212,Comparative Group Studies.,,,,5.0212
05.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other.",No substantive changes,no,05.0299,"Ethnic, Cultural Minority, Gender, and Group Studies, Other.",,,5.0299,5.0299
,,New,no,05.99,"Area, Ethnic, Cultural, Gender, and Group Studies, Other.",,,,5.99
,,New,no,05.9999,"Area, Ethnic, Cultural, Gender, and Group Studies, Other.",,,,5.9999
09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",No substantive changes,no,09,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS.",,,9,9
09.01,Communication and Media Studies.,No substantive changes,no,09.01,Communication and Media Studies.,,,9.01,9.01
09.0100,"Communication, General.",No substantive changes,no,09.0100,"Communication, General.",,,9.01,9.01
09.0101,Speech Communication and Rhetoric.,No substantive changes,no,09.0101,Speech Communication and Rhetoric.,,,9.0101,9.0101
09.0102,Mass Communication/Media Studies.,No substantive changes,no,09.0102,Mass Communication/Media Studies.,,,9.0102,9.0102
09.0199,"Communication and Media Studies, Other.",No substantive changes,no,09.0199,"Communication and Media Studies, Other.",,,9.0199,9.0199
09.04,Journalism.,No substantive changes,no,09.04,Journalism.,,,9.04,9.04
09.0401,Journalism.,No substantive changes,no,09.0401,Journalism.,,,9.0401,9.0401
09.0402,Broadcast Journalism.,No substantive changes,no,09.0402,Broadcast Journalism.,,,9.0402,9.0402
09.0404,Photojournalism.,No substantive changes,no,09.0404,Photojournalism.,,,9.0404,9.0404
,,New,no,09.0405,Business and Economic Journalism.,,,,9.0405
,,New,no,09.0406,Cultural Journalism.,,,,9.0406
,,New,no,09.0407,Science/Health/Environmental Journalism.,,,,9.0407
09.0499,"Journalism, Other.",No substantive changes,no,09.0499,"Journalism, Other.",,,9.0499,9.0499
09.07,"Radio, Television, and Digital Communication.",No substantive changes,no,09.07,"Radio, Television, and Digital Communication.",,,9.07,9.07
09.0701,Radio and Television.,No substantive changes,no,09.0701,Radio and Television.,,,9.0701,9.0701
09.0702,Digital Communication and Media/Multimedia.,No substantive changes,no,09.0702,Digital Communication and Media/Multimedia.,,,9.0702,9.0702
09.0799,"Radio, Television, and Digital Communication, Other.",No substantive changes,no,09.0799,"Radio, Television, and Digital Communication, Other.",,,9.0799,9.0799
09.09,"Public Relations, Advertising, and Applied Communication.",No substantive changes,no,09.09,"Public Relations, Advertising, and Applied Communication.",,,9.09,9.09
09.0900,"Public Relations, Advertising, and Applied Communication.",No substantive changes,no,09.0900,"Public Relations, Advertising, and Applied Communication.",,,9.09,9.09
09.0901,"Organizational Communication, General.",No substantive changes,no,09.0901,"Organizational Communication, General.",,,9.0901,9.0901
09.0902,Public Relations/Image Management.,No substantive changes,no,09.0902,Public Relations/Image Management.,,,9.0902,9.0902
09.0903,Advertising.,No substantive changes,no,09.0903,Advertising.,,,9.0903,9.0903
09.0904,Political Communication.,No substantive changes,no,09.0904,Political Communication.,,,9.0904,9.0904
09.0905,Health Communication.,No substantive changes,no,09.0905,Health Communication.,,,9.0905,9.0905
09.0906,Sports Communication.,No substantive changes,no,09.0906,Sports Communication.,,,9.0906,9.0906
09.0907,International and Intercultural Communication.,No substantive changes,no,09.0907,International and Intercultural Communication.,,,9.0907,9.0907
09.0908,Technical and Scientific Communication.,No substantive changes,no,09.0908,Technical and Scientific Communication.,,,9.0908,9.0908
,,New,no,09.0909,Communication Management and Strategic Communications.,,,,9.0909
09.0999,"Public Relations, Advertising, and Applied Communication, Other",No substantive changes,no,09.0999,"Public Relations, Advertising, and Applied Communication, Other.",,,9.0999,9.0999
09.10,Publishing.,No substantive changes,no,09.10,Publishing.,,,9.1,9.1
09.1001,Publishing.,No substantive changes,no,09.1001,Publishing.,,,9.1001,9.1001
09.99,"Communication, Journalism, and Related Programs, Other.",No substantive changes,no,09.99,"Communication, Journalism, and Related Programs, Other.",,,9.99,9.99
09.9999,"Communication, Journalism, and Related Programs, Other.",No substantive changes,no,09.9999,"Communication, Journalism, and Related Programs, Other.",,,9.9999,9.9999
10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,No substantive changes,no,10,COMMUNICATIONS TECHNOLOGIES/TECHNICIANS AND SUPPORT SERVICES.,,,10,10
10.01,Communications Technology/Technician.,No substantive changes,yes,10.01,Communications Technologies/Technicians.,,,10.01,10.01
10.0105,Communications Technology/Technician.,No substantive changes,no,10.0105,Communications Technology/Technician.,,,10.0105,10.0105
10.02,Audiovisual Communications Technologies/Technicians.,No substantive changes,yes,10.02,Audiovisual Communications Technologies/Technicians.,,,10.02,10.02
10.0201,Photographic and Film/Video Technology/Technician and Assistant.,No substantive changes,yes,10.0201,Photographic and Film/Video Technology/Technician.,,,10.0201,10.0201
10.0202,Radio and Television Broadcasting Technology/Technician.,No substantive changes,yes,10.0202,Radio and Television Broadcasting Technology/Technician.,,,10.0202,10.0202
10.0203,Recording Arts Technology/Technician.,No substantive changes,yes,10.0203,Recording Arts Technology/Technician.,,,10.0203,10.0203
,,New,no,10.0204,Voice Writing Technology/Technician.,,,,10.0204
10.0299,"Audiovisual Communications Technologies/Technicians, Other.",No substantive changes,yes,10.0299,"Audiovisual Communications Technologies/Technicians, Other.",,,10.0299,10.0299
10.03,Graphic Communications.,No substantive changes,no,10.03,Graphic Communications.,,,10.03,10.03
